from_stop_I,to_stop_I,d,duration_avg,n_vehicles,route_type,d_walk,iswalk,route_importance,Price,rush_hour,star_reviews,Duration_Walk_min
22,19,203,25,8,7,208,TRUE,1,4.06,"9:00,12:00,16:00",0,2.6
10,13,580,36,14,6,0,FALSE,1,11.6,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,0
10,12,286,34,24,0,207,TRUE,3,17.16,No rush hours,4,2.5875
19,17,186,34,24,5,207,TRUE,1,3.72,"9:00,12:00,16:00",3,2.5875
19,14,1819,204,41,6,283,TRUE,1,36.38,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,3.5375
14,15,200,15,24,5,140,TRUE,1,4,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,1.75
14,13,139,15,24,5,140,TRUE,1,2.78,"9:00,12:00,16:00",4,1.75
13,18,1585,11,53,7,312,TRUE,1,31.7,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,3.9
13,12,100,18.15384615,26,1,185,TRUE,4,8,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,2.3125
12,18,125,18.15384615,26,1,185,TRUE,4,10,"9:00,12:00,16:00",4,2.3125
15,16,426,283,78,2,180,TRUE,5,42.6,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,2.25
15,18,269,18.15384615,26,1,0,FALSE,4,21.52,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,0
16,18,169,18.15384615,26,4,0,FALSE,2,6.76,No rush hours,0,0
17,15,552,138,99,7,527,TRUE,1,11.04,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,6.5875
17,16,242,17.15384615,26,1,174,TRUE,4,19.36,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,2.175
17,16,242,17.15384615,26,5,174,TRUE,1,13,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,4.25
25,1159,135,26.5,30,6,154,TRUE,1,2.7,No rush hours,5,1.925
25,1159,135,26.5,30,5,154,TRUE,1,2.7,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,1.925
26,616,89,21,11,3,112,TRUE,3,5.34,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,1.4
26,616,89,21,11,5,112,TRUE,1,1.78,No rush hours,0,1.4
27,1013,218,39,11,1,261,TRUE,4,17.44,"9:00,12:00,16:00",1,3.2625
27,1013,218,39,11,7,261,TRUE,1,4.36,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,3.2625
28,29,246,51.46666667,30,4,259,TRUE,2,9.84,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,3.2375
28,29,246,51.46666667,30,2,259,TRUE,5,24.6,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,3.2375
29,1016,175,43.5,30,6,212,TRUE,1,3.5,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,2.65
29,1016,175,43.5,30,5,212,TRUE,1,3.5,"9:00,12:00,16:00",0,2.65
30,3969,162,51.54356061,528,3,284,TRUE,3,9.72,"9:00,12:00,16:00",5,3.55
30,99,67,30.15384615,78,0,169,TRUE,3,4.02,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,2.1125
30,4542,124,62.40178571,224,1,190,TRUE,4,9.92,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,2.375
30,3969,162,51.54356061,528,7,284,TRUE,1,3.24,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,3.55
30,99,67,30.15384615,78,9,169,TRUE,3,4.02,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,2.1125
30,4542,124,62.40178571,224,7,190,TRUE,1,2.48,"9:00,12:00,16:00",2,2.375
31,2584,376,40,16,9,392,TRUE,3,22.56,"9:00,12:00,16:00",1,4.9
31,2584,376,40,16,9,392,TRUE,3,22.56,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,4.9
32,3152,393,57.92857143,14,4,451,TRUE,2,15.72,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,5.6375
32,2090,864,96.16666667,6,5,936,TRUE,1,17.28,No rush hours,2,11.7
32,883,263,43.80487805,82,9,277,TRUE,3,15.78,"9:00,12:00,16:00",5,3.4625
32,4195,228,53.37931034,29,9,300,TRUE,3,13.68,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,3.75
32,3152,393,57.92857143,14,9,451,TRUE,3,23.58,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,5.6375
32,2090,864,96.16666667,6,4,936,TRUE,2,34.56,"9:00,12:00,16:00",4,11.7
32,883,263,43.80487805,82,2,277,TRUE,5,26.3,No rush hours,3,3.4625
32,4195,228,53.37931034,29,7,300,TRUE,1,4.56,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,3.75
33,2677,437,101.3529412,34,6,740,TRUE,1,8.74,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,9.25
33,2677,437,101.3529412,34,4,740,TRUE,2,17.48,"9:00,12:00,16:00",5,9.25
35,37,171,18,16,3,182,TRUE,3,10.26,"9:00,12:00,16:00",3,2.275
35,37,171,18,16,7,182,TRUE,1,3.42,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,2.275
36,3832,68,14.17241379,29,6,91,TRUE,1,1.36,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,1.1375
36,3832,68,14.17241379,29,4,91,TRUE,2,2.72,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,1.1375
37,2531,355,39,16,1,377,TRUE,4,28.4,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,4.7125
37,2531,355,39,16,7,377,TRUE,1,7.1,"9:00,12:00,16:00",1,4.7125
38,320,706,81,18,8,713,TRUE,5,70.6,"9:00,12:00,16:00",2,8.9125
38,320,706,81,18,0,713,TRUE,3,42.36,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,8.9125
39,4772,182,27.14285714,28,5,188,TRUE,1,3.64,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,2.35
39,4772,182,27.14285714,28,3,188,TRUE,3,10.92,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,2.35
49,39,196,29.35714286,28,5,0,FALSE,1,3.92,"9:00,12:00,16:00",4,0
50,52,216,34.44827586,29,1,217,TRUE,4,17.28,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,2.7125
51,49,207,31.14285714,28,9,0,FALSE,3,12.42,No rush hours,2,0
52,3714,218,34.93103448,29,2,234,TRUE,5,21.8,"9:00,12:00,16:00",3,2.925
53,4682,212,51.85365854,41,3,262,TRUE,3,12.72,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,3.275
54,36,154,32,29,5,0,FALSE,1,3.08,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,0
55,2763,217,29.0212766,47,5,234,TRUE,1,4.34,"9:00,12:00,16:00",5,2.925
56,1621,201,31.66666667,69,5,215,TRUE,1,4.02,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,2.6875
57,393,131,17.38461538,26,8,140,TRUE,5,13.1,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,1.75
58,2546,168,24.85714286,28,2,172,TRUE,5,16.8,"9:00,12:00,16:00",1,2.15
59,5014,173,24.26086957,46,7,183,TRUE,1,3.46,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,2.2875
60,3617,371,60.49090909,55,4,377,TRUE,2,14.84,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,4.7125
61,3725,360,47,9,1,370,TRUE,4,28.8,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,4.625
62,58,163,21.71428571,28,0,0,FALSE,3,9.78,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,0
63,392,171,26.23170732,82,6,180,TRUE,1,3.42,"9:00,12:00,16:00",0,2.25
64,66,414,63.5,18,7,427,TRUE,1,8.28,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,5.3375
65,1149,220,28,8,2,686,TRUE,5,22,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,8.575
66,2908,97,17,18,7,128,TRUE,1,1.94,"9:00,12:00,16:00",2,1.6
67,2616,517,74.04444444,45,3,528,TRUE,3,31.02,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,6.6
68,1898,208,21.12,25,9,235,TRUE,3,12.48,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,2.9375
69,2184,192,19.12,25,9,198,TRUE,3,11.52,"9:00,12:00,16:00",2,2.475
71,70,204,32.06666667,45,1,0,FALSE,4,16.32,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,0
72,401,187,26.28488372,172,4,201,TRUE,2,7.48,"9:00,12:00,16:00",1,2.5125
73,74,291,43.07647059,170,4,302,TRUE,2,11.64,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,3.775
74,402,154,22.28235294,170,2,164,TRUE,5,15.4,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,2.05
75,1601,305,52.84210526,38,0,313,TRUE,3,18.3,"9:00,12:00,16:00",0,3.9125
76,4741,225,44.33333333,9,6,281,TRUE,1,4.5,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,3.5125
77,243,80,22,5,8,118,TRUE,5,8,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,1.475
77,1598,641,104,16,5,667,TRUE,1,12.82,"9:00,12:00,16:00",4,8.3375
77,4902,310,65.42857143,14,8,350,TRUE,5,31,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,4.375
78,4417,177,26.57079646,226,0,198,TRUE,3,10.62,No rush hours,2,2.475
78,4803,1252,160.8076923,26,1,0,FALSE,4,100.16,"9:00,12:00,16:00",3,0
79,73,213,39.16346154,104,6,0,FALSE,1,4.26,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,0
79,2227,171,37.75555556,45,3,242,TRUE,3,10.26,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,3.025
79,397,952,132,8,3,0,FALSE,3,57.12,"9:00,12:00,16:00",5,0
79,78,100,14.63095238,252,3,0,FALSE,3,6,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,0
80,3060,360,49.85106383,47,1,380,TRUE,4,28.8,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,4.75
81,4212,108,16.84375,32,7,118,TRUE,1,2.16,"9:00,12:00,16:00",1,1.475
82,4267,105,21.91176471,34,7,134,TRUE,1,2.1,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,1.675
83,4210,297,53.625,8,8,328,TRUE,5,29.7,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,4.1
84,3002,260,35.05,40,6,274,TRUE,1,5.2,No rush hours,3,3.425
85,1937,111,18.46153846,39,9,189,TRUE,3,6.66,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,2.3625
86,4985,831,89,38,2,872,TRUE,5,83.1,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,10.9
87,1136,221,38.31578947,38,6,237,TRUE,1,4.42,"9:00,12:00,16:00",1,2.9625
88,4422,137,32.88659794,97,3,200,TRUE,3,8.22,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,2.5
89,4181,243,41.5,12,8,252,TRUE,5,24.3,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,3.15
90,93,260,46.20408163,49,8,273,TRUE,5,26,"9:00,12:00,16:00",4,3.4125
91,148,144,40.18181818,11,8,246,TRUE,5,14.4,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,3.075
92,4826,138,30.90217391,184,3,160,TRUE,3,8.28,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,2
93,89,150,34,12,0,0,FALSE,3,9,"9:00,12:00,16:00",5,0
93,3814,197,35.08108108,37,6,209,TRUE,1,3.94,No rush hours,5,2.6125
94,100,170,47.66104079,711,1,184,TRUE,4,13.6,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,2.3
95,2918,304,112.2711864,59,0,332,TRUE,3,18.24,"9:00,12:00,16:00",5,4.15
96,3277,124,38.11926606,109,9,142,TRUE,3,7.44,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,1.775
96,95,174,57.30508475,59,5,0,FALSE,1,3.48,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,0
97,96,174,54.50595238,168,3,0,FALSE,3,10.44,"9:00,12:00,16:00",3,0
98,1506,290,87.87619048,210,6,372,TRUE,1,5.8,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,4.65
98,1949,189,57.27777778,72,8,226,TRUE,5,18.9,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,2.825
98,1950,236,93.63333333,90,5,315,TRUE,1,4.72,"9:00,12:00,16:00",5,3.9375
99,98,70,24.85714286,84,7,0,FALSE,1,1.4,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,0
99,165,158,65.17204301,93,2,241,TRUE,5,15.8,No rush hours,2,3.0125
100,99,96,27.82828283,99,2,0,FALSE,5,9.6,"9:00,12:00,16:00",5,0
100,4486,180,68.76086957,598,9,227,TRUE,3,10.8,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,2.8375
100,4542,142,53,16,3,208,TRUE,3,8.52,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,2.6
101,1147,206,35.90909091,11,6,217,TRUE,1,4.12,"9:00,12:00,16:00",2,2.7125
102,4365,326,56,11,0,367,TRUE,3,19.56,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,4.5875
103,1597,689,72.52380952,21,6,726,TRUE,1,13.78,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,9.075
104,4734,288,38.87096774,31,9,306,TRUE,3,17.28,"9:00,12:00,16:00",0,3.825
105,976,1498,179.3823529,34,1,0,FALSE,4,119.84,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,0
106,108,413,50,37,7,471,TRUE,1,8.26,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,5.8875
107,105,372,40.76470588,34,1,0,FALSE,4,29.76,No rush hours,2,0
108,1885,259,29,37,1,280,TRUE,4,20.72,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,3.5
109,4832,214,41.89655172,29,7,217,TRUE,1,4.28,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,2.7125
110,106,365,40,37,5,0,FALSE,1,7.3,"9:00,12:00,16:00",1,0
111,4580,225,38,45,9,232,TRUE,3,13.5,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,2.9
112,3090,212,49.34482759,29,0,288,TRUE,3,12.72,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,3.6
113,1267,204,28.29166667,48,1,213,TRUE,4,16.32,"9:00,12:00,16:00",0,2.6625
114,3316,281,76.03784571,687,9,285,TRUE,3,16.86,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,3.5625
115,4480,204,103.1863857,617,9,535,TRUE,3,12.24,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,6.6875
115,114,341,73.74581006,358,3,0,FALSE,3,20.46,"9:00,12:00,16:00",2,0
116,4546,217,70.61072261,429,5,265,TRUE,1,4.34,No rush hours,5,3.3125
117,115,328,86.14972274,541,3,0,FALSE,3,19.68,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,0
118,116,318,66.55188679,212,9,0,FALSE,3,19.08,"9:00,12:00,16:00",2,0
118,117,213,53.93842887,471,0,0,FALSE,3,12.78,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,0
119,118,152,38.06212121,660,6,0,FALSE,1,3.04,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,0
119,4750,169,50,50,3,234,TRUE,3,10.14,"9:00,12:00,16:00",5,2.925
120,119,198,53.05283757,511,2,0,FALSE,5,19.8,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,0
121,120,203,55.41580042,481,1,0,FALSE,4,16.24,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,0
121,119,402,56.54545455,33,2,0,FALSE,5,40.2,"9:00,12:00,16:00",1,0
122,2648,807,103.3125,32,0,986,TRUE,3,48.42,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,12.325
122,405,343,64.7672956,318,0,524,TRUE,3,20.58,No rush hours,5,6.55
122,814,205,33.69285714,140,4,231,TRUE,2,8.2,"9:00,12:00,16:00",4,2.8875
122,1391,2069,360.4814815,27,8,0,FALSE,5,206.9,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,0
123,122,233,58.27074236,458,4,0,FALSE,2,9.32,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,0
124,126,161,31.73684211,95,6,167,TRUE,1,3.22,"9:00,12:00,16:00",4,2.0875
125,2649,157,32,15,2,181,TRUE,5,15.7,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,2.2625
126,128,186,36.24210526,95,9,193,TRUE,3,11.16,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",1,2.4125
127,928,513,81.66666667,72,4,540,TRUE,2,20.52,"9:00,12:00,16:00",5,6.75
127,926,538,93.25,40,4,565,TRUE,2,21.52,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,7.0625
128,130,168,32.85263158,95,8,180,TRUE,5,16.8,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,2.25
129,2692,288,48.04878049,41,5,289,TRUE,1,5.76,No rush hours,2,3.6125
130,449,286,55.98947368,95,7,292,TRUE,1,5.72,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,3.65
131,921,162,28.56043956,91,2,165,TRUE,5,16.2,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,2.0625
132,938,189,33.06593407,91,9,192,TRUE,3,11.34,"9:00,12:00,16:00",3,2.4
133,4868,390,55,5,4,400,TRUE,2,15.6,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,5
134,155,206,26.86666667,30,1,215,TRUE,4,16.48,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,2.6875
135,3068,185,36,12,6,234,TRUE,1,3.7,"9:00,12:00,16:00",1,2.925
136,4877,175,36.06666667,90,2,182,TRUE,5,17.5,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,2.275
137,4903,156,35.54651163,86,2,158,TRUE,5,15.6,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,1.975
138,2965,152,46.35897436,39,4,248,TRUE,2,6.08,"9:00,12:00,16:00",2,3.1
139,3970,432,81.375,40,3,490,TRUE,3,25.92,No rush hours,2,6.125
139,142,195,37.32369942,173,3,245,TRUE,3,11.7,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,3.0625
140,461,299,50.625,40,0,308,TRUE,3,17.94,"9:00,12:00,16:00",0,3.85
141,142,190,31.51219512,82,8,195,TRUE,5,19,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,2.4375
142,336,212,63,26,8,307,TRUE,5,21.2,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",0,3.8375
142,1872,186,85,34,9,323,TRUE,3,11.16,"9:00,12:00,16:00",5,4.0375
142,1874,194,71.90243902,41,1,341,TRUE,4,15.52,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,4.2625
142,1873,202,71.36956522,46,9,328,TRUE,3,12.12,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,4.1
142,1869,195,85.90243902,41,9,330,TRUE,3,11.7,"9:00,12:00,16:00",4,4.125
142,1870,205,88.66666667,27,4,310,TRUE,2,8.2,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,3.875
142,1871,191,70.625,40,0,322,TRUE,3,11.46,No rush hours,4,4.025
143,2696,143,61.63157895,76,8,396,TRUE,5,14.3,"9:00,12:00,16:00",1,4.95
144,1876,219,44.36363636,33,7,234,TRUE,1,4.38,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,2.925
144,143,191,39.55405405,74,2,0,FALSE,5,19.1,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,0
145,1988,210,38.70588235,17,7,280,TRUE,1,4.2,"9:00,12:00,16:00",2,3.5
146,3853,214,36.61290323,31,3,240,TRUE,3,12.84,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,3
147,4873,591,98.41666667,12,0,598,TRUE,3,35.46,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,7.475
147,138,330,57.25641026,39,6,0,FALSE,1,6.6,"9:00,12:00,16:00",2,0
148,156,878,158.0909091,11,3,936,TRUE,3,52.68,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,11.7
149,150,349,55.75,20,5,388,TRUE,1,6.98,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,4.85
150,159,222,38.85,20,7,284,TRUE,1,4.44,No rush hours,5,3.55
151,1490,303,48.08333333,24,2,396,TRUE,5,30.3,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,4.95
151,3869,181,17,9,7,205,TRUE,1,3.62,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,2.5625
152,3353,117,17.37777778,90,9,117,TRUE,3,7.02,"9:00,12:00,16:00",4,1.4625
153,4762,281,47.18181818,11,5,0,FALSE,1,5.62,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,0
154,2874,204,45,14,2,286,TRUE,5,20.4,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,3.575
155,3728,225,35.16666667,30,7,269,TRUE,1,4.5,"9:00,12:00,16:00",4,3.3625
156,3352,147,21.52252252,111,0,147,TRUE,3,8.82,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,1.8375
157,158,186,26.9,20,5,202,TRUE,1,3.72,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",5,2.525
158,3614,210,32.85,20,5,235,TRUE,1,4.2,"9:00,12:00,16:00",1,2.9375
159,1886,143,20.9,20,9,158,TRUE,3,8.58,No rush hours,1,1.975
160,157,215,31.85,20,2,0,FALSE,5,21.5,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,0
161,801,185,36.60465116,86,1,201,TRUE,4,14.8,"9:00,12:00,16:00",4,2.5125
162,3785,262,45.25806452,31,8,312,TRUE,5,26.2,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",4,3.9
163,448,233,43,24,7,239,TRUE,1,4.66,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,2.9875
164,178,189,29.8,50,4,198,TRUE,2,7.56,"9:00,12:00,16:00",2,2.475
164,618,184,41.53333333,30,1,257,TRUE,4,14.72,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,3.2125
165,3773,330,111.2988004,917,9,331,TRUE,3,19.8,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",3,4.1375
166,2564,178,26.45121951,82,2,177,TRUE,5,17.8,"9:00,12:00,16:00",0,2.2125
167,171,293,42,51,0,308,TRUE,3,17.58,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,3.85
168,499,237,33.62745098,51,8,262,TRUE,5,23.7,No rush hours,0,3.275
169,2760,252,35.39772727,88,3,267,TRUE,3,15.12,"9:00,12:00,16:00",3,3.3375
170,495,281,40.2183908,87,3,292,TRUE,3,16.86,"7:00,8:00,9:00,12:00,16:00,17:00,18:00,19:00",2,3.65
