stop_I,lat,lon,"name,NumOfParking,NumOfParkedCars"
31,49.83370775,-97.14577178,"Westbound Crescent at Kebir,20,0"
32,49.93842057,-97.16054185,"Northbound McPhillips at Inkster,20,0"
33,49.84316662,-97.18295144,"Eastbound Victor Lewis at Avon Gate,40,0"
35,49.8382748,-97.1411326,"Southbound South at Crane,10,0"
36,49.93531602,-97.15367816,"Southbound Airlies at Polson,0,0"
37,49.83677271,-97.14057826,"Southbound South at Holly,40,0"
38,49.82582016,-97.16957193,"Westbound Chevrier at Hamelin,10,0"
39,49.86694686,-97.18564965,"Westbound Grosvenor at Niagara,0,0"
40,49.86671772,-97.18308374,"Eastbound Grosvenor at Ash,30,0"
41,49.82773834,-97.19779613,"Northbound Lindenwood at Lindenwood,20,0"
42,49.85432646,-97.17475575,"Southbound Poseidon at Pan Am Pool,10,0"
43,49.78145588,-97.18324685,"Northbound John Angus at Wave rley,40,0"
44,49.90551043,-96.98612668,"Eastbound McMeans at Bayview,20,0"
45,49.8666432,-97.17720001,"Westbound Grosvenor at Waverley,40,0"
46,49.85082974,-97.20713455,"Northbound Kenaston at Taylor,20,0"
47,49.87425503,-97.19916882,"Eastbound Academy at Beaverbrook,0,0"
48,49.87441122,-97.19880113,"Westbound Academy at Wellington Crescent South,40,0"
49,49.86684095,-97.18291212,"Westbound Grosvenor at Ash,20,0"
50,49.86663782,-97.18086016,"Eastbound Grosvenor at Elm,0,0"
51,49.86674156,-97.18002129,"Westbound Grosvenor at Elm,10,0"
52,49.8665454,-97.17784383,"Eastbound Grosvenor at Waverley,0,0"
53,49.89451378,-97.14236995,"Northbound Smith at Portage North,40,0"
54,49.93658885,-97.15283513,"Eastbound Inkster at Airlies,10,0"
55,49.90076235,-96.98413798,"Eastbound Kildare at Widlake,10,0"
56,49.92080838,-97.13300039,"Westbound Mountain at Aikins,10,0"
57,49.81262904,-97.19910808,"Northbound Columbia at Exbury,30,0"
58,49.81226599,-97.19889915,"Southbound Columbia at Exbury,0,0"
59,49.81519132,-97.10057702,"Northbound Paddington at John Forsyth,10,0"
60,49.81675455,-97.19313007,"Eastbound Scurfield at Henlow West,20,0"
61,49.83188684,-97.16471214,"Westbound Clarence at Irene,40,0"
62,49.81337754,-97.20038698,"Southbound Columbia at Hallmark,20,0"
63,49.81675641,-97.19382509,"Westbound Scurfield at Henlow,30,0"
64,49.8405761,-97.17153219,"Southbound Fennell at Seel,0,0"
65,49.83182061,-97.16450605,"Eastbound Clarence at Irene,10,0"
66,49.83726888,-97.1688754,"Southbound Fennell at Buffalo,10,0"
67,49.81558242,-97.15476389,"Southbound Chancellor at Gaylene,30,0"
68,49.83996551,-97.19567253,"Southbound Lindenwood at Tweedsmuir,20,0"
69,49.84265111,-97.18966112,"Southbound Lindenwood at Kingsborough,40,0"
70,49.81620953,-97.15234895,"Northbound Chancellor at Pembina,0,0"
71,49.81538664,-97.15489645,"Northbound Chancellor at Gaylene,0,0"
72,49.8147855,-97.15161081,"Northbound Pembina at Thatcher North,20,0"
73,49.81603839,-97.15177159,"Southbound Pembina at Chancellor,30,0"
74,49.81343827,-97.15230158,"Southbound Pembina at Thatcher,10,0"
75,49.92715866,-97.16960945,"Westbound Burrows at McPhillips,0,0"
76,49.80868245,-97.17627868,"Southbound Bridgeland at Brockington,40,0"
77,49.94121952,-97.05495444,"Westbound Sun Valley at Gateway,0,0"
78,49.81781846,-97.15114768,"Southbound University at Pembina,20,0"
79,49.81788582,-97.15254924,"Southbound Pembina at University Crescent,40,0"
80,49.94422444,-97.19959949,"Southbound Dexter at Kinver,40,0"
81,49.9409823,-97.05475493,"Eastbound Sun Valley at Gateway,30,0"
82,49.92005079,-97.08224886,"Northbound Gateway at Kimberly,20,0"
83,49.96077495,-97.18920792,"Westbound Jefferson at Ritchie,10,0"
84,49.95222007,-97.10209173,"Westbound Chief Peguis at Main,30,0"
85,49.80734677,-97.10766693,"Eastbound Warde at Paddington,10,0"
86,49.95159157,-97.10325958,"Northbound Main at Chief Peguis,40,0"
87,49.93878647,-97.20855457,"Westbound Burrows at Sumter,40,0"
88,49.80197325,-97.15592065,"Westbound Chancellor Matheson at Pembina,10,0"
89,49.93825632,-97.20684608,"Southbound King Edward at Burrows,10,0"
90,49.93864961,-97.21250378,"Eastbound Burrows at Palms,10,0"
91,49.89403326,-97.26383354,"Eastbound Cree at Cree D,20,0"
92,49.89521083,-97.15220167,"Northbound Balmoral at Qu'Appelle,30,0"
93,49.93861142,-97.20886768,"Eastbound Burrows at Sumter,30,0"
94,49.88897642,-97.14820729,"Northbound Vaughan at St. Mary,20,0"
95,49.88660649,-97.14569459,"Southbound Kennedy at Broadway,40,0"
96,49.88808559,-97.14650109,"Southbound Kennedy at York,20,0"
97,49.88956447,-97.14729373,"Southbound Kennedy at St. Mary,20,0"
98,49.89184314,-97.14972661,"Northbound Vaughan at Portage North,0,0"
99,49.89123573,-97.14942961,"Northbound Vaughan at Portage South,40,0"
100,49.89041911,-97.14898746,"Northbound Vaughan at Graham (The Bay),20,0"
101,49.83609315,-97.16790457,"Southbound Irene at Sony,0,0"
102,49.83608064,-97.16768253,"Northbound Irene at Sony,0,0"
103,49.86817853,-97.26541481,"Northbound William Clement at Roblin,40,0"
104,49.83740524,-97.06988821,"Northbound Island Shore at Tidewater,20,0"
105,49.84314047,-97.2008538,"Southbound Lorimer at Sterling Lyon,0,0"
106,49.84657883,-97.20042012,"Northbound Lorimer at Wilkes (Golf Dome),10,0"
107,49.84648231,-97.20057671,"Southbound Lorimer at Wilkes (Golf Dome),0,0"
108,49.84683124,-97.19467964,"Eastbound Wilkes at Sun-X,10,0"
109,49.85384413,-97.16529952,"Eastbound Taylor at Nathaniel,10,0"
110,49.84330034,-97.20072268,"Northbound Lorimer at Sterling Lyon,10,0"
111,49.9008942,-96.98551119,"Westbound Kildare at Southampton,40,0"
112,49.93083155,-97.14155915,"Eastbound Atlantic at McKenzie,20,0"
113,49.94459524,-97.20262427,"Westbound Kinver at Cropo East,30,0"
114,49.89135108,-97.13643475,"Southbound Main at St. Mary,30,0"
115,49.89424604,-97.13802197,"Southbound Main at Pioneer,0,0"
116,49.89617556,-97.13886673,"Southbound Main at Lombard,30,0"
117,49.89711472,-97.13909517,"Southbound Main at McDermot,20,0"
118,49.89903037,-97.13907717,"Southbound Main at William (City Hall),20,0"
119,49.90022805,-97.13804235,"Southbound Main at James,0,0"
120,49.90178016,-97.13667352,"Southbound Main at Alexander,40,0"
121,49.90340528,-97.13537142,"Southbound Main at Henry,40,0"
122,49.90427122,-97.13440492,"Northbound Main at Higgins,20,0"
123,49.90235912,-97.13575992,"Northbound Main at Logan,20,0"
124,49.87011542,-97.15506625,"Eastbound Corydon at Arbuthnot,20,0"
125,49.88011444,-97.29323057,"Northbound Westwood at Byrd,40,0"
126,49.87078511,-97.15306446,"Eastbound Corydon at Cockburn,10,0"
127,49.90247331,-97.21842302,"Westbound Wellington at Flight,30,0"
128,49.87155775,-97.1507525,"Eastbound Corydon at Hugo,20,0"
129,49.9040939,-97.19991019,"Southbound St James at Wellington North,10,0"
130,49.872253,-97.14866611,"Eastbound Corydon at Daly,30,0"
131,49.87158306,-97.15121081,"Westbound Corydon at Hugo,40,0"
132,49.87324851,-97.14623413,"Westbound Corydon at Nassau,10,0"
133,49.92567052,-97.20788442,"Westbound Logan at King Edward,30,0"
134,49.94270375,-97.17200307,"Eastbound Inkster at Milner,0,0"
135,49.89488242,-97.26948413,"Westbound Murray Park at Cree West,0,0"
136,49.90342474,-97.16587031,"Eastbound Notre Dame at Simcoe,0,0"
137,49.90351943,-97.16560211,"Westbound Notre Dame at Tecumseh,20,0"
138,49.91988373,-97.1949477,"Northbound Keewatin at Pacific,20,0"
139,49.88378214,-97.19579346,"Westbound Westway at Empress,20,0"
140,49.90130005,-97.19898365,"Westbound Wellington at St James,0,0"
141,49.88382081,-97.19654375,"Southbound Empress at Westway,0,0"
142,49.88211341,-97.19664914,"Southbound Empress at Eastway,20,0"
143,49.88485755,-97.19958174,"Westbound Polo Park West Access at Polo Park (11),10,0"
144,49.88314266,-97.19978475,"Westbound Polo Park West Access at Polo Park Sears,0,0"
145,49.95505085,-97.08880548,"Northbound Rivergrove at Attridge,0,0"
146,49.84416292,-97.07380593,"Eastbound Beaverhill at Lakewood,0,0"
147,49.91691561,-97.19496103,"Northbound Keewatin at William,30,0"
148,49.89379664,-97.26185092,"Eastbound Murray Park at Moray,20,0"
149,49.84801069,-97.25755396,"Southbound Elmhurst at Beiko,40,0"
150,49.84488861,-97.25809742,"Westbound Ridgewood at Elmhurst,30,0"
151,49.84420604,-97.07423542,"Westbound Beaverhill at Lakewood,0,0"
152,49.8688185,-97.13755264,"Southbound Osborne at Woodward,0,0"
153,49.78811537,-97.17486994,"Eastbound John Angus at Brookstone,0,0"
154,49.91408626,-97.2126182,"Eastbound Stevenson at Sherwin,30,0"
155,49.94188928,-97.16941359,"Eastbound Inkster at Bunting,30,0"
156,49.88594452,-97.26307964,"Westbound Ness at Moray,0,0"
157,49.85056682,-97.26064775,"Northbound Laxdal at Beiko North,0,0"
158,49.85223752,-97.26049039,"Northbound Laxdal at Eldridge,30,0"
159,49.84532097,-97.26112815,"Northbound Laxdal at Ridgewood,10,0"
160,49.8486354,-97.26081446,"Northbound Laxdal at Beiko,30,0"
161,49.88175672,-97.13887838,"Westbound River at Clarke,20,0"
162,49.89851003,-97.10698522,"Southbound Archibald at La Verendrye,40,0"
163,49.88185053,-97.13744095,"Southbound Donald at River,0,0"
164,49.89405544,-97.11402414,"Eastbound Provencher at Des Meurons,10,0"
165,49.89201563,-97.1475758,"Eastbound Portage at Edmonton (Portage Place),20,0"
166,49.89417102,-97.11449306,"Westbound Provencher at Thibault,30,0"
167,49.89286387,-97.05238804,"Westbound Rougeau at Rizzuto,20,0"
168,49.89271691,-97.05274205,"Eastbound Rougeau at Rizzuto,0,0"
169,49.89578805,-97.05403874,"Westbound Regent at Peguis,20,0"
170,49.89565639,-97.05476812,"Eastbound Regent at Peguis,30,0"
171,49.89305848,-97.05647383,"Westbound Rougeau at Bachinsky,30,0"
172,49.89289317,-97.05627162,"Eastbound Rougeau at Bachinsky,30,0"
173,49.89678869,-97.0595267,"Westbound Regent at Kildonan Place (Park & Ride),40,0"
174,49.89627072,-97.05814107,"Eastbound Regent at Rougeau,10,0"
175,49.89528905,-97.05806909,"Westbound Rougeau at Regent,20,0"
176,49.89719618,-97.06183585,"Westbound Regent at Stapon East,10,0"
177,49.89517535,-97.18808613,"Northbound Valour at Dauphin,0,0"
178,49.89469017,-97.11157656,"Eastbound Provencher at Sprague,10,0"
179,49.87552617,-97.25455949,"Westbound Portage at Whytewold,0,0"
180,49.88454276,-97.17659548,"Westbound Portage at Sherburn,20,0"
181,49.88102835,-97.19628588,"Eastbound Portage at St. John Ambulance,20,0"
182,49.8803958,-97.19956675,"Eastbound Portage at Tylehurst (Polo Park),40,0"
183,49.88081205,-97.19914758,"Westbound Portage at Tylehurst (Polo Park),40,0"
184,49.87581678,-97.25116677,"Westbound Portage at Strathmillan,30,0"
185,49.88334202,-97.18375433,"Eastbound Portage at Newman,30,0"
186,49.88284844,-97.18669622,"Eastbound Portage at Clifton,10,0"
187,49.88223284,-97.18989319,"Eastbound Portage at Craig,30,0"
188,49.88201629,-97.19100101,"Eastbound Portage at Raglan,0,0"
189,49.87456995,-97.3206641,"Northbound St Charles at Augier,0,0"
190,49.87335129,-97.32098473,"Southbound St Charles at St. Charles Loop,30,0"
191,49.90129755,-97.2092612,"Northbound Berry at Wellington,20,0"
192,49.88365505,-97.18134816,"Eastbound Portage at Sprague,10,0"
193,49.87790215,-97.32032579,"Northbound St Charles at Lepine,10,0"
194,49.87631509,-97.32067315,"Southbound St Charles at Sansome,40,0"
195,49.87601599,-97.3205165,"Northbound St Charles at Sansome,20,0"
196,49.87486026,-97.32083496,"Southbound St Charles at Augier,0,0"
197,49.86208658,-97.15642965,"Northbound Stafford at Grant,10,0"
198,49.86061498,-97.15552557,"Southbound Stafford at Carter,10,0"
199,49.94049118,-97.1403791,"Westbound Jefferson at Teakwood,0,0"
200,49.85936655,-97.15451564,"Southbound Stafford at Ebby,0,0"
201,49.86508511,-97.15888991,"Northbound Stafford at Fleet,10,0"
202,49.86338547,-97.15778564,"Southbound Stafford at Dudley,40,0"
203,49.86340823,-97.15752039,"Northbound Stafford at Dudley,30,0"
204,49.86224649,-97.15686884,"Southbound Stafford at Grant,40,0"
205,49.94337681,-97.14981572,"Eastbound Jefferson at Tulip,20,0"
206,49.94281838,-97.14808091,"Eastbound Jefferson at Airlies West,0,0"
207,49.86647888,-97.15999195,"Northbound Stafford at Warsaw,30,0"
208,49.86521716,-97.15927453,"Southbound Stafford at Fleet,40,0"
209,49.78192586,-97.17881167,"Westbound Waverley at Autumnview South,30,0"
210,49.78451691,-97.18456328,"Northbound John Angus at Tellier,30,0"
211,49.89079446,-97.20075313,"Northbound St James at St. Matthews,30,0"
212,49.78613214,-97.18316917,"Eastbound John Angus at Brookstone West,10,0"
213,49.78553332,-97.15273834,"Northbound Baylor at Leeds,0,0"
214,49.94604356,-97.18992768,"Westbound Inkster at Plymouth,40,0"
215,49.94889367,-97.18123389,"Eastbound Mapleton at Rozmus West,0,0"
216,49.9250848,-97.15851374,"Eastbound Aberdeen at Artillery,10,0"
217,49.92603088,-97.16144547,"Eastbound Aberdeen at Battery,0,0"
218,49.9122691,-97.11615528,"Northbound Henderson at Gordon,40,0"
219,49.91726778,-97.1613191,"Southbound Sinclair at Dufferin,30,0"
220,49.924299,-97.15604971,"Eastbound Aberdeen at Sinclair,20,0"
221,49.91989408,-97.15847468,"Eastbound Selkirk at Sinclair,30,0"
222,49.92001728,-97.15830281,"Westbound Selkirk at Sinclair,0,0"
223,49.92588366,-97.16067081,"Westbound Aberdeen at Battery,40,0"
224,49.92099218,-97.1619158,"Eastbound Selkirk at Sinclair West,0,0"
225,49.92096403,-97.161276,"Westbound Selkirk at Sinclair West,10,0"
226,49.92507926,-97.15816562,"Westbound Aberdeen at Artillery,10,0"
227,49.9338998,-97.18356828,"Southbound Sheppard at Redwood,0,0"
228,49.94588167,-97.21659897,"Eastbound Inkster at Burrows,40,0"
229,49.91219451,-97.08148797,"Eastbound Munroe at London,20,0"
230,49.88065624,-97.28728153,"Eastbound Portage at Daer,40,0"
231,49.88042661,-97.28574453,"Eastbound Portage at Golf,0,0"
233,49.95403762,-97.05871804,"Eastbound Headmaster at Douglas Lawrence,0,0"
234,49.90391812,-97.08904446,"Eastbound Talbot at Cameron,20,0"
235,49.88251761,-97.30742832,"Eastbound Portage at Bedson,0,0"
236,49.88286167,-97.30389436,"Eastbound Portage at Seaton,30,0"
237,49.88205569,-97.31152315,"Eastbound Portage at David,40,0"
238,49.88179814,-97.29456323,"Eastbound Portage at Parkdale,30,0"
239,49.88088379,-97.2886794,"Eastbound Portage at Banting,20,0"
240,49.8824956,-97.2991742,"Eastbound Portage at Rouge,40,0"
241,49.88217458,-97.29691645,"Eastbound Portage at Muriel,40,0"
242,49.93730752,-97.06036611,"Northbound Gateway at Jim Smith,40,0"
243,49.94189659,-97.05456478,"Northbound Gateway at Sun Valley,10,0"
244,49.93439939,-97.04416401,"Westbound Sun Valley at Alberhill,0,0"
245,49.94618594,-97.12704306,"Eastbound Partridge at McGregor,0,0"
246,49.93605391,-97.06285531,"Northbound Raleigh at Springfield,0,0"
247,49.92598706,-97.17174382,"Eastbound Manitoba at McPhillips West,10,0"
248,49.91713781,-97.14864708,"Northbound McGregor at Selkirk,10,0"
249,49.91855943,-97.1475478,"Northbound McGregor at Manitoba,40,0"
250,49.91817302,-97.14813378,"Southbound McGregor at Manitoba,10,0"
251,49.91950117,-97.14681513,"Northbound McGregor at Burrows,20,0"
252,49.91991424,-97.14677143,"Southbound McGregor at Burrows,20,0"
253,49.92078495,-97.14609718,"Southbound McGregor at Aberdeen,30,0"
254,49.93272506,-97.17122406,"Eastbound Mountain at Fife,10,0"
255,49.92089624,-97.14574461,"Northbound McGregor at Aberdeen,10,0"
256,49.92235311,-97.144602,"Northbound McGregor at Boyd,10,0"
257,49.93014529,-97.18563239,"Westbound Manitoba at Leo Novak,20,0"
258,49.94135651,-97.16700862,"Westbound Inkster at Fife,20,0"
259,49.92929979,-97.18276583,"Eastbound Manitoba at Railway,30,0"
260,49.93091641,-97.18834856,"Eastbound Manitoba at Buller,20,0"
261,49.93155029,-97.19034534,"Eastbound Manitoba at Chudley,40,0"
262,49.93015031,-97.18595269,"Eastbound Manitoba at Leo Novak,20,0"
263,49.93090197,-97.18800073,"Westbound Manitoba at Buller,30,0"
264,49.94098921,-97.14282688,"Northbound Sinclair at Jefferson,30,0"
265,49.90969164,-97.09005592,"Northbound Grey at Harbison,10,0"
266,49.94571074,-97.20669473,"Northbound King Edward at Inkster,30,0"
267,49.94695938,-97.11042519,"Southbound Margaret at Margaret Loop,20,0"
268,49.89777087,-97.06661704,"Eastbound Regent at Lagimodiere,0,0"
269,49.95575684,-97.15451367,"Westbound Leila at Simkin,10,0"
270,49.93667717,-97.06570123,"Westbound Springfield at Edelweiss,20,0"
271,49.93617492,-97.06417441,"Westbound Springfield at Raleigh,0,0"
272,49.85772495,-97.05001679,"Southbound Lagimodiere at Fermor,20,0"
273,49.95447814,-97.1504777,"Westbound Leila at Watson East (Seven Oaks Hospital),10,0"
274,49.94044621,-97.07704877,"Westbound Springfield at Rothesay,30,0"
275,49.93905396,-97.07283943,"Westbound Springfield at Karen,0,0"
276,49.94206559,-97.08194622,"Westbound Springfield at Graduate,30,0"
277,49.94056958,-97.07797767,"Eastbound Springfield at Rothesay,40,0"
278,49.9379842,-97.07017836,"Eastbound Springfield at Brian,10,0"
279,49.93673468,-97.0664515,"Eastbound Springfield at Edelweiss,10,0"
280,49.93901574,-97.07324513,"Eastbound Springfield at Karen,20,0"
281,49.93834359,-97.07069361,"Westbound Springfield at Brian,20,0"
282,49.83054036,-97.11563379,"Westbound Bishop Grandin at St. Mary's,40,0"
283,49.9157389,-97.07446567,"Westbound Concordia at Besant,40,0"
284,49.88194627,-97.1072991,"Eastbound Marion at Youville,20,0"
285,49.88182503,-97.11033854,"Eastbound Marion at Des Meurons,40,0"
286,49.82155462,-97.13732447,"Southbound River at Avalon,10,0"
287,49.80240659,-97.11195942,"Westbound Burland at Malmsbury,40,0"
288,49.88142404,-97.12051615,"Eastbound Marion at Kenny,40,0"
289,49.8812865,-97.12368143,"Eastbound Marion at Tache,40,0"
290,49.88166473,-97.11429823,"Eastbound Marion at Braemar,10,0"
291,49.88153097,-97.11768613,"Eastbound Marion at Traverse,30,0"
292,49.8824491,-97.12104709,"Westbound Goulet at Kenny,10,0"
293,49.88257532,-97.11774296,"Westbound Goulet at Traverse,40,0"
294,49.88118528,-97.12687313,"Eastbound Marion at St. Mary's,0,0"
295,49.81848549,-97.11831264,"Northbound River at Nicollet,40,0"
296,49.95142063,-97.1409758,"Westbound Leila at Garden Park,20,0"
297,49.82876258,-97.043214,"Northbound Des Hivernants at Ironweed,10,0"
298,49.83223036,-97.04401967,"Westbound Lafrance at Proulx,40,0"
299,49.89556619,-97.10903594,"Westbound Provencher at Nadeau,20,0"
300,49.8402208,-97.0817932,"Northbound Shorehill at Bishop Grandin,0,0"
301,49.83893441,-97.08124605,"Northbound Shorehill at High Ridge,20,0"
302,49.83647017,-97.07801968,"Northbound Shorehill at Norcross,40,0"
303,49.83458697,-97.07620298,"Northbound Shorehill at Wildfire,0,0"
304,49.86175438,-97.10907629,"Southbound St Anne's at Loraine,40,0"
305,49.94844318,-97.10764886,"Northbound Main at Seaforth,10,0"
306,49.83320904,-97.04550993,"Northbound Burning Glass at Sage Creek,10,0"
307,49.83364257,-97.04774536,"Eastbound Sage Creek at Burning Glass,40,0"
308,49.94471275,-97.08699842,"Southbound Henderson at Sutton,0,0"
309,49.94294853,-97.08855971,"Southbound Henderson at Slater,30,0"
310,49.94793826,-97.08405481,"Southbound Henderson at Chief Peguis,30,0"
311,49.94662861,-97.08536131,"Southbound Henderson at Whellams,10,0"
312,49.94942559,-97.08207204,"Southbound Henderson at Valhalla,10,0"
313,49.95139873,-97.07955403,"Southbound Henderson at Fortier,10,0"
314,49.95056117,-97.08057712,"Southbound Henderson at Gilmore,0,0"
315,49.75295411,-97.1415923,"Southbound Turnbull at Floodway,20,0"
316,49.94166326,-97.08971167,"Southbound Henderson at Edison,30,0"
317,49.94023577,-97.09096676,"Southbound Henderson at Hawthorne,40,0"
318,49.81157841,-97.0952973,"Eastbound Warde at Dakota West,10,0"
319,49.81030807,-97.09900289,"Eastbound Warde at John Forsyth,10,0"
320,49.8228814,-97.17828916,"Westbound Chevrier at Gamble,40,0"
321,49.83807882,-97.10300432,"Westbound Beliveau at Kearney,40,0"
322,49.83781437,-97.10333455,"Eastbound Beliveau at Kearney,20,0"
323,49.83677583,-97.10637924,"Eastbound Beliveau at Eric,40,0"
324,49.83702321,-97.10610533,"Westbound Beliveau at Eric,20,0"
325,49.84090386,-97.0948266,"Westbound Beliveau at St. Anne's,30,0"
326,49.84092328,-97.09436685,"Eastbound Beliveau at St. Anne's,40,0"
327,49.83902341,-97.10026913,"Westbound Beliveau at Beechtree,20,0"
328,49.83893078,-97.10010586,"Eastbound Beliveau at Beechtree,0,0"
329,49.90415684,-97.15589868,"Eastbound William at Sherbrook (HSC),30,0"
330,49.88510354,-97.11722697,"Eastbound Dollard at Traverse,10,0"
331,49.86562776,-97.29168167,"Southbound Westwood at Assiniboine,0,0"
332,49.94644199,-97.11013878,"Northbound Main at Margaret,0,0"
333,49.89387094,-97.14323008,"Westbound Portage at Donald (MTS Centre),20,0"
334,49.89053161,-97.05973591,"Southbound Terracon at Elan,20,0"
335,49.87336841,-97.16561747,"Northbound Stafford at Kingsway,20,0"
336,49.88119135,-97.19924483,"Northbound Polo Park at Polo Park (24,0,0"
337,49.88109203,-97.19922069,"Southbound Polo Park Terminal at Polo Park (All Routes),0,0"
338,49.88089885,-97.29335603,"Southbound Westwood at Portage,30,0"
340,49.85719525,-97.15598971,"Westbound Taylor at Harrow,20,0"
341,49.85570894,-97.10134007,"Southbound Seagrim at Alpine,30,0"
342,49.82722617,-97.08525516,"Southbound St Anne's at Novavista,20,0"
343,49.80889929,-97.20394456,"Eastbound Columbia at Westmoreland,40,0"
344,49.82821633,-97.09456038,"Northbound Ashworth at Woodydell,30,0"
345,49.82662007,-97.09321872,"Northbound Ashworth at Whitley,30,0"
346,49.82473964,-97.09155463,"Northbound Ashworth at Novavista,10,0"
347,49.82302878,-97.09035672,"Southbound Ashworth at Harlesden,30,0"
348,49.82571217,-97.1964949,"Southbound Lindenwood at Fairhaven,40,0"
349,49.95495808,-97.16084583,"Northbound Pipeline at Adsum,0,0"
350,49.83023134,-97.09620551,"Northbound Ashworth at Wales,20,0"
351,49.82510073,-97.1130226,"Westbound Meadowood at St. Mary's,40,0"
352,49.86108559,-97.07613854,"Westbound Cottonwood at Canberra,30,0"
353,49.8610626,-97.07746135,"Westbound Cottonwood at Autumnwood,10,0"
354,49.86096338,-97.07528069,"Eastbound Cottonwood at Canberra,30,0"
355,49.95119405,-97.1492931,"Northbound McPhillips at Kingsbury,10,0"
356,49.86342518,-97.07835555,"Southbound Autumnwood at Erie,40,0"
357,49.86484639,-97.07835481,"Southbound Autumnwood at Echo,10,0"
358,49.8618297,-97.07815447,"Northbound Autumnwood at Cottonwood,10,0"
359,49.86362892,-97.07816656,"Northbound Autumnwood at Winakwa,20,0"
360,49.86096473,-97.07157933,"Eastbound Cottonwood at Speers,0,0"
361,49.86094343,-97.07732693,"Eastbound Cottonwood at Autumnwood,0,0"
362,49.87392871,-97.1903568,"Eastbound Academy at Campbell,40,0"
363,49.87414366,-97.19144832,"Westbound Academy at Borebank,40,0"
364,49.87419235,-97.19283833,"Westbound Academy at Lindsay,0,0"
365,49.87403488,-97.19312257,"Eastbound Academy at Lindsay,10,0"
366,49.87374969,-97.18524161,"Eastbound Academy at Niagara,0,0"
367,49.87395417,-97.18623605,"Westbound Academy at Queenston,0,0"
368,49.87384372,-97.18779903,"Eastbound Academy at Brock,20,0"
369,49.87404775,-97.18876567,"Westbound Academy at Cordova,40,0"
370,49.91519715,-97.09008914,"Westbound Munroe at Raleigh,20,0"
371,49.87432067,-97.1964523,"Westbound Academy at Lanark,10,0"
372,49.8741724,-97.19675011,"Eastbound Academy at Lanark,0,0"
373,49.92616692,-97.11342596,"Westbound Matheson at Scotia,20,0"
374,49.89993767,-97.14124253,"Southbound Princess at William (Red River College),10,0"
375,49.9003665,-97.17384048,"Eastbound Wellington at Ingersoll,30,0"
376,49.92523214,-97.22145746,"Eastbound Logan at Parent,30,0"
377,49.89653183,-97.28786132,"Eastbound Hamilton at Silver,30,0"
378,49.88685653,-97.31629788,"Southbound Buchanan at Fairlane,40,0"
379,49.90199657,-97.06434521,"Westbound Reenders at Lagimodiere East,0,0"
380,49.89119676,-97.04261131,"Westbound Rougeau at Bournais,20,0"
381,49.93777238,-97.16788328,"Northbound Fife at Huron,20,0"
382,49.95112635,-97.1608524,"Northbound Pipeline at Manren,20,0"
383,49.81322574,-97.15194825,"Northbound Pembina at Thatcher,0,0"
384,49.89103166,-97.04242306,"Eastbound Rougeau at Bournais,30,0"
385,49.88812705,-97.28336949,"Westbound Ness at Heritage,40,0"
386,49.95270061,-97.16086213,"Northbound Pipeline at Doubleday,0,0"
387,49.85057374,-97.20977329,"Westbound Taylor at Kenaston West,20,0"
